202.46.60.16;[23/Sep/2014:07:15:23 -0400];"GET / HTTP/1.1";13520
103.245.206.154;[23/Sep/2014:07:22:36 -0400];"GET /favicon.ico HTTP/1.1";1150
147.226.183.235;[23/Sep/2014:08:32:07 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
147.226.183.235;[23/Sep/2014:08:32:07 -0400];"GET /cs/cs-style.css HTTP/1.1";795
147.226.183.235;[23/Sep/2014:08:32:07 -0400];"GET /favicon.ico HTTP/1.1";1150
147.226.183.235;[23/Sep/2014:08:32:10 -0400];"GET /cs/csprereq.html HTTP/1.1";7176
147.226.183.235;[23/Sep/2014:08:32:10 -0400];"GET /cs/cs-prereq.png HTTP/1.1";126581
49.248.82.3;[23/Sep/2014:09:30:39 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:39 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:40 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:40 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:41 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:41 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:42 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:42 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:43 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:43 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:45 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:47 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:48 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:49 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:50 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:51 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:52 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:53 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:53 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:54 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:55 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:56 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:57 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:30:59 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:31:00 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:31:01 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:31:03 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:31:04 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:31:05 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:31:06 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:31:08 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:31:09 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:31:11 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
49.248.82.3;[23/Sep/2014:09:31:15 -0400];"GET /favicon.ico HTTP/1.1";1150
49.248.82.3;[23/Sep/2014:09:31:29 -0400];"GET /comp512.papers/knapp.pdf HTTP/1.1";2576983
146.186.210.59;[23/Sep/2014:10:24:55 -0400];"GET / HTTP/1.1";13520
146.186.210.59;[23/Sep/2014:10:24:55 -0400];"GET /index-style.css HTTP/1.1";1498
146.186.210.59;[23/Sep/2014:10:24:55 -0400];"GET /switch-menu.js HTTP/1.1";2685
146.186.210.59;[23/Sep/2014:10:24:55 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
146.186.210.59;[23/Sep/2014:10:24:55 -0400];"GET /graphics/logo16.png HTTP/1.1";38873
146.186.210.59;[23/Sep/2014:10:24:55 -0400];"GET /favicon.ico HTTP/1.1";1150
96.5.17.21;[23/Sep/2014:11:32:54 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
96.5.17.21;[23/Sep/2014:11:32:54 -0400];"GET /cs/cs-style.css HTTP/1.1";795
96.5.17.21;[23/Sep/2014:11:32:54 -0400];"GET /cs/cs-style.css HTTP/1.1";795
96.5.17.21;[23/Sep/2014:11:32:55 -0400];"GET /favicon.ico HTTP/1.1";1150
